Group,Player,IsSeed
1,Player1,1
1,Player2,1
1,Player3,1
1,Player4,1
1,Player5,0
1,Player6,0
1,Player7,0
1,Player8,0
2,Player1,1
2,Player2,1
2,Player3,1
2,Player4,1
2,Player5,0
2,Player6,0
2,Player7,0
2,Player8,0
3,Player1,1
3,Player2,1
3,Player3,1
3,Player4,1
3,Player5,0
3,Player6,0
3,Player7,0
3,Player8,0
4,Player1,1
4,Player2,1
4,Player3,1
4,Player4,1
4,Player5,0
4,Player6,0
4,Player7,0
4,Player8,0
5,Player1,1
5,Player2,1
5,Player3,1
5,Player4,1
5,Player5,0
5,Player6,0
5,Player7,0
5,Player8,0
6,Player1,1
6,Player2,1
6,Player3,1
6,Player4,1
6,Player5,0
6,Player6,0
6,Player7,0
6,Player8,0
7,Player1,1
7,Player2,1
7,Player3,1
7,Player4,1
7,Player5,0
7,Player6,0
7,Player7,0
7,Player8,0
8,Player1,1
8,Player2,1
8,Player3,1
8,Player4,1
8,Player5,0
8,Player6,0
8,Player7,0
8,Player8,0
9,Player1,1
9,Player2,1
9,Player3,1
9,Player4,1
9,Player5,0
9,Player6,0
9,Player7,0
9,Player8,0
10,Player1,1
10,Player2,1
10,Player3,1
10,Player4,1
10,Player5,0
10,Player6,0
10,Player7,0
10,Player8,0
11,Player1,1
11,Player2,1
11,Player3,1
11,Player4,1
11,Player5,0
11,Player6,0
11,Player7,0
11,Player8,0
12,Player1,1
12,Player2,1
12,Player3,1
12,Player4,1
12,Player5,0
12,Player6,0
12,Player7,0
12,Player8,0
13,Player1,1
13,Player2,1
13,Player3,1
13,Player4,1
13,Player5,0
13,Player6,0
13,Player7,0
13,Player8,0
14,Player1,1
14,Player2,1
14,Player3,1
14,Player4,1
14,Player5,0
14,Player6,0
14,Player7,0
14,Player8,0
15,Player1,1
15,Player2,1
15,Player3,1
15,Player4,1
15,Player5,0
15,Player6,0
15,Player7,0
15,Player8,0
16,Player1,1
16,Player2,1
16,Player3,1
16,Player4,1
16,Player5,0
16,Player6,0
16,Player7,0
16,Player8,0
17,Player1,1
17,Player2,1
17,Player3,1
17,Player4,1
17,Player5,0
17,Player6,0
17,Player7,0
17,Player8,0
18,Player1,1
18,Player2,1
18,Player3,1
18,Player4,1
18,Player5,0
18,Player6,0
18,Player7,0
18,Player8,0